Date	Equipment	Parameter	Value	Unit
2021-03-14 07:53:43	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 07:54:53	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 08:00:00	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 08:11:00	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 08:15:35	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 11:43:35	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 12:12:23	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 12:16:06	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 12:23:50	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 12:31:43	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 12:36:03	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 12:39:02	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 13:00:18	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 13:04:58	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 13:09:31	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 13:57:28	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 14:01:34	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 15:58:46	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 16:10:36	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 16:14:21	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 16:33:27	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 18:00:18	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 18:08:29	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 18:13:13	5MultiSensor 6 (ZW100)	SABOTAGE	0	
2021-03-14 18:18:49	5MultiSensor 6 (ZW100)	SABOTAGE	0	
